yr,sex,FirstForename,number,rank,position
2000,B,Cole,14,190,  190=
2000,B,Derek,14,190,  190=
2000,B,Findlay,14,190,  190=
2000,B,Gabriel,14,190,  190=
2000,B,Jon,14,190,  190=
2000,B,Lyle,14,190,  190=
2000,B,Oscar,14,190,  190=
2000,B,Russell,14,190,  190=
2000,B,Tommy,14,190,  190=
2000,B,Zachary,14,190,  190=
2000,B,Daryl,13,202,  202=
2000,B,Ellis,13,202,  202=
2000,B,Graham,13,202,  202=
2000,B,Kristopher,13,202,  202=
2000,B,Marco,13,202,  202=
2000,B,Anton,12,207,  207=
2000,B,Bobby,12,207,  207=
2000,B,Brad,12,207,  207=
2000,B,Christian,12,207,  207=
2000,B,Garry,12,207,  207=
2000,B,Keith,12,207,  207=
2000,B,Kieren,12,207,  207=
2000,B,Regan,12,207,  207=
2000,B,Rohan,12,207,  207=
2000,B,Saul,12,207,  207=
2000,B,Stefan,12,207,  207=
2000,B,Ayden,11,218,  218=
2000,B,Blake,11,218,  218=
2000,B,Bryce,11,218,  218=
2000,B,Harvey,11,218,  218=
2000,B,Hayden,11,218,  218=
2000,B,Hugh,11,218,  218=
2000,B,Jak,11,218,  218=
2000,B,Lloyd,11,218,  218=
2000,B,Magnus,11,218,  218=
2000,B,Myles,11,218,  218=
2000,B,Sebastian,11,218,  218=
2000,B,Zac,11,218,  218=
2000,B,Antony,10,230,  230=
2000,B,Brogan,10,230,  230=
2000,B,Conall,10,230,  230=
2000,B,Frazer,10,230,  230=
2000,B,Jackson,10,230,  230=
2000,B,Nathaniel,10,230,  230=
2000,B,Nico,10,230,  230=
2000,B,Reagan,10,230,  230=
2000,B,Timothy,10,230,  230=
2000,B,Zack,10,230,  230=
2000,B,Alfie,9,240,  240=
2000,B,Cory,9,240,  240=
2000,B,Dane,9,240,  240=
2000,B,Elliott,9,240,  240=
2000,B,Frederick,9,240,  240=
2000,B,Glenn,9,240,  240=
2000,B,Jai,9,240,  240=
2000,B,Jed,9,240,  240=
2000,B,Laurence,9,240,  240=
2000,B,Matt,9,240,  240=
2000,B,Robin,9,240,  240=
2000,B,Scot,9,240,  240=
2000,B,Toby,9,240,  240=
2000,B,Zain,9,240,  240=
2000,B,Ahmed,8,254,  254=
2000,B,Antonio,8,254,  254=
2000,B,Cain,8,254,  254=
2000,B,Cieran,8,254,  254=
2000,B,Cody,8,254,  254=
2000,B,Curtis,8,254,  254=
2000,B,Damien,8,254,  254=
2000,B,Eoin,8,254,  254=
2000,B,Ewen,8,254,  254=
2000,B,Flynn,8,254,  254=
2000,B,Francis,8,254,  254=
2000,B,Frank,8,254,  254=
2000,B,Gareth,8,254,  254=
2000,B,Gerard,8,254,  254=
2000,B,Hamzah,8,254,  254=
2000,B,Haydn,8,254,  254=
2000,B,Johnathan,8,254,  254=
2000,B,Jonathon,8,254,  254=
2000,B,Kelvin,8,254,  254=
2000,B,Kurt,8,254,  254=
2000,B,Luc,8,254,  254=
2000,B,Luca,8,254,  254=
2000,B,Malcolm,8,254,  254=
2000,B,Martyn,8,254,  254=
2000,B,Omar,8,254,  254=
2000,B,Ricky,8,254,  254=
2000,B,Ruairi,8,254,  254=
2000,B,Sandy,8,254,  254=
2000,B,Shawn,8,254,  254=
2000,B,Simon,8,254,  254=
2000,B,Sonny,8,254,  254=
2000,B,Troy,8,254,  254=
2000,B,Vincent,8,254,  254=
2000,B,Alister,7,287,  287=
2000,B,Baillie,7,287,  287=
2000,B,Brooklyn,7,287,  287=
2000,B,Byron,7,287,  287=
2000,B,Conrad,7,287,  287=
2000,B,Declyn,7,287,  287=
2000,B,Guy,7,287,  287=
2000,B,Hassan,7,287,  287=
2000,B,Jayden,7,287,  287=
2000,B,Kalvin,7,287,  287=
2000,B,Kirk,7,287,  287=
2000,B,Kris,7,287,  287=
2000,B,Kristofer,7,287,  287=
2000,B,Lawrence,7,287,  287=
2000,B,Levi,7,287,  287=
2000,B,Mackenzie,7,287,  287=
2000,B,Mohamed,7,287,  287=
2000,B,Murdo,7,287,  287=
2000,B,Ritchie,7,287,  287=
2000,B,Roan,7,287,  287=
2000,B,Ruari,7,287,  287=
2000,B,Usman,7,287,  287=
2000,B,Aarron,6,309,  309=
2000,B,Alec,6,309,  309=
2000,B,Amaan,6,309,  309=
2000,B,Blaine,6,309,  309=
2000,B,Brandyn,6,309,  309=
2000,B,Brett,6,309,  309=
2000,B,Cal,6,309,  309=
2000,B,Corrie,6,309,  309=
2000,B,Dillan,6,309,  309=
2000,B,Eoghan,6,309,  309=
2000,B,Finley,6,309,  309=
2000,B,Humza,6,309,  309=
2000,B,Jasper,6,309,  309=
2000,B,Johnny,6,309,  309=
2000,B,Keiren,6,309,  309=
2000,B,Keiron,6,309,  309=
2000,B,Kurtis,6,309,  309=
2000,B,Lochlan,6,309,  309=
2000,B,Luis,6,309,  309=
2000,B,Marley,6,309,  309=
2000,B,Moray,6,309,  309=
2000,B,Raymond,6,309,  309=
2000,B,Roddy,6,309,  309=
2000,B,Roderick,6,309,  309=
2000,B,Ronald,6,309,  309=
2000,B,Shea,6,309,  309=
2000,B,Terry,6,309,  309=
2000,B,Tim,6,309,  309=
2000,B,Will,6,309,  309=
2000,B,Zach,6,309,  309=
2000,B,Abdullah,5,339,  339=
2000,B,Benedict,5,339,  339=
2000,B,Braden,5,339,  339=
2000,B,Cailean,5,339,  339=
2000,B,Casey,5,339,  339=
2000,B,Chris,5,339,  339=
2000,B,Colm,5,339,  339=
2000,B,Conlan,5,339,  339=
2000,B,Dan,5,339,  339=
2000,B,Dario,5,339,  339=
