yr,sex,FirstForename,number,rank,position
1990,B,David,1254,1,1
1990,B,Christopher,1209,2,2
1990,B,Craig,1052,3,3
1990,B,Scott,1044,4,4
1990,B,Andrew,1009,5,5
1990,B,Michael,973,6,6
1990,B,James,949,7,7
1990,B,John,775,8,8
1990,B,Ross,771,9,9
1990,B,Daniel,769,10,10
1990,B,Steven,755,11,11
1990,B,Jamie,680,12,12
1990,B,Mark,673,13,13
1990,B,Paul,640,14,14
1990,B,Ryan,603,15,15
1990,B,Stephen,584,16,16
1990,B,Sean,581,17,17
1990,B,Robert,545,18,18
1990,B,Stuart,533,19,19
1990,B,Gary,467,20,20
1990,B,Darren,415,21,21
1990,B,William,402,22,22
1990,B,Kevin,391,23,23
1990,B,Thomas,387,24,24
1990,B,Martin,378,25,25
1990,B,Matthew,373,26,26
1990,B,Liam,336,27,27
1990,B,Jonathan,314,28,28
1990,B,Callum,308,29,29
1990,B,Alan,304,30,30
1990,B,Calum,282,31,31
1990,B,Graeme,281,32,32
1990,B,Jordan,267,33,33
1990,B,Alexander,257,34,34
1990,B,Lee,255,35,35
1990,B,Richard,244,36,36
1990,B,Iain,242,37,37
1990,B,Adam,239,38,38
1990,B,Fraser,227,39,   39=
1990,B,Lewis,227,39,   39=
1990,B,Colin,212,41,41
1990,B,Grant,211,42,42
1990,B,Peter,209,43,43
1990,B,Dean,206,44,44
1990,B,Gavin,201,45,45
1990,B,Shaun,192,46,46
1990,B,Marc,188,47,47
1990,B,Ian,182,48,48
1990,B,Greg,171,49,49
1990,B,Gordon,170,50,50
1990,B,Brian,164,51,   51=
1990,B,Graham,164,51,   51=
1990,B,Nicholas,164,51,   51=
1990,B,Neil,163,54,54
1990,B,Stewart,157,55,55
1990,B,Euan,155,56,56
1990,B,Anthony,147,57,57
1990,B,Joseph,146,58,58
1990,B,Kieran,145,59,59
1990,B,Kyle,143,60,60
1990,B,Jack,134,61,   61=
1990,B,Jason,134,61,   61=
1990,B,Alistair,133,63,63
1990,B,Samuel,128,64,64
1990,B,Allan,127,65,65
1990,B,Aaron,118,66,   66=
1990,B,Kenneth,118,66,   66=
1990,B,George,115,68,68
1990,B,Barry,109,69,69
1990,B,Cameron,104,70,   70=
1990,B,Joshua,104,70,   70=
1990,B,Douglas,103,72,72
1990,B,Ewan,102,73,73
1990,B,Derek,98,74,74
1990,B,Benjamin,95,75,75
1990,B,Nathan,93,76,76
1990,B,Duncan,92,77,77
1990,B,Dale,91,78,78
1990,B,Blair,90,79,79
1990,B,Rory,87,80,80
1990,B,Patrick,85,81,81
1990,B,Simon,83,82,82
1990,B,Alasdair,82,83,83
1990,B,Garry,78,84,84
1990,B,Alastair,77,85,85
1990,B,Martyn,75,86,   86=
1990,B,Philip,75,86,   86=
1990,B,Charles,71,88,88
1990,B,Sam,70,89,89
1990,B,Daryl,68,90,   90=
1990,B,Gregor,68,90,   90=
1990,B,Edward,65,92,   92=
1990,B,Niall,65,92,   92=
1990,B,Donald,64,94,94
1990,B,Murray,63,95,95
1990,B,Keith,61,96,96
1990,B,Ben,60,97,   97=
1990,B,Bryan,60,97,   97=
1990,B,Connor,60,97,   97=
1990,B,Luke,59,100,100
1990,B,Josh,58,101,101
1990,B,Greig,55,102,102
1990,B,Robbie,54,103,103
1990,B,Angus,52,104,  104=
1990,B,Kristopher,52,104,  104=
1990,B,Gareth,50,106,106
1990,B,Bruce,49,107,  107=
1990,B,Declan,49,107,  107=
1990,B,Owen,48,109,109
1990,B,Stefan,47,110,110
1990,B,Raymond,44,111,111
1990,B,Mohammed,41,112,112
1990,B,Malcolm,40,113,113
1990,B,Frazer,39,114,114
1990,B,Hugh,38,115,115
1990,B,Dominic,36,116,116
1990,B,Kristofer,33,117,  117=
1990,B,Robin,33,117,  117=
1990,B,Jon,32,119,  119=
1990,B,Russell,32,119,  119=
1990,B,Billy,31,121,  121=
1990,B,Kris,31,121,  121=
1990,B,Antony,30,123,  123=
1990,B,Gerard,30,123,  123=
1990,B,Jonathon,30,123,  123=
1990,B,Aidan,29,126,  126=
1990,B,Oliver,29,126,  126=
1990,B,Wayne,29,126,  126=
1990,B,Marcus,28,129,  129=
1990,B,Shane,28,129,  129=
1990,B,Tony,26,131,131
1990,B,Drew,25,132,  132=
1990,B,Hamish,25,132,  132=
1990,B,Mathew,25,132,  132=
1990,B,Francis,24,135,  135=
1990,B,Joe,24,135,  135=
1990,B,Ruaridh,24,135,  135=
1990,B,Tom,24,135,  135=
1990,B,Ciaran,23,139,  139=
1990,B,Danny,23,139,  139=
1990,B,Lloyd,23,139,  139=
1990,B,Max,23,139,  139=
1990,B,Conor,22,143,  143=
1990,B,Fergus,22,143,  143=
1990,B,Justin,22,143,  143=
1990,B,Louis,21,146,  146=
1990,B,Roy,21,146,  146=
1990,B,Brendan,20,148,  148=
1990,B,Darryl,20,148,  148=
1990,B,Glen,20,148,  148=
1990,B,Glenn,20,148,  148=
1990,B,Keir,20,148,  148=
1990,B,Nicky,20,148,  148=
1990,B,Phillip,20,148,  148=
1990,B,Ronald,20,148,  148=
1990,B,Kristoffer,19,156,  156=
1990,B,Struan,19,156,  156=
1990,B,Timothy,19,156,  156=
1990,B,Warren,19,156,  156=
1990,B,Arran,18,160,  160=
1990,B,Bradley,18,160,  160=
1990,B,Calvin,18,160,  160=
1990,B,Finlay,18,160,  160=
1990,B,Gregg,18,160,  160=
1990,B,Jake,18,160,  160=
1990,B,Ruairidh,18,160,  160=
1990,B,Damien,17,167,  167=
1990,B,Harry,17,167,  167=
1990,B,Kerr,17,167,  167=
1990,B,Mohammad,17,167,  167=
1990,B,Terry,17,167,  167=
1990,B,Vincent,17,167,  167=
1990,B,Campbell,16,173,  173=
1990,B,Elliot,16,173,  173=
1990,B,Keiran,16,173,  173=
1990,B,Ricky,16,173,  173=
1990,B,Terence,16,173,  173=
1990,B,Brett,15,178,  178=
1990,B,Clark,15,178,  178=
1990,B,Chris,14,180,  180=
1990,B,Henry,14,180,  180=
1990,B,Jordon,14,180,  180=
1990,B,Kieron,14,180,  180=
1990,B,Laurence,14,180,  180=
1990,B,Omar,14,180,  180=
1990,B,Arron,13,186,  186=
1990,B,Ashley,13,186,  186=
1990,B,Ethan,13,186,  186=
1990,B,Frank,13,186,  186=
1990,B,Jay,13,186,  186=
1990,B,Johnathan,13,186,  186=
1990,B,Muhammad,13,186,  186=
1990,B,Sandy,13,186,  186=
1990,B,Adrian,12,194,  194=
1990,B,Alex,12,194,  194=
1990,B,Anton,12,194,  194=
1990,B,Barrie,12,194,  194=
1990,B,Jacob,12,194,  194=
1990,B,Jeff,12,194,  194=
1990,B,Maxwell,12,194,  194=
1990,B,Scot,12,194,  194=
1990,B,Allen,11,202,  202=
1990,B,Daryn,11,202,  202=
1990,B,Gregory,11,202,  202=
1990,B,Lawrence,11,202,  202=
1990,B,Myles,11,202,  202=
1990,B,Reece,11,202,  202=
1990,B,Roderick,11,202,  202=
1990,B,Ruaraidh,11,202,  202=
1990,B,Ali,10,210,  210=
1990,B,Alisdair,10,210,  210=
1990,B,Damian,10,210,  210=
1990,B,Dylan,10,210,  210=
1990,B,Imran,10,210,  210=
1990,B,Karl,10,210,  210=
1990,B,Kieren,10,210,  210=
1990,B,Leigh,10,210,  210=
1990,B,Ronan,10,210,  210=
1990,B,Bobby,9,219,  219=
1990,B,Darran,9,219,  219=
1990,B,Dayle,9,219,  219=
1990,B,Eamon,9,219,  219=
1990,B,Gerald,9,219,  219=
1990,B,Guy,9,219,  219=
1990,B,Lyle,9,219,  219=
1990,B,Marco,9,219,  219=
1990,B,Qasim,9,219,  219=
1990,B,Ruari,9,219,  219=
1990,B,Aarron,8,229,  229=
1990,B,Ahmed,8,229,  229=
1990,B,Benedict,8,229,  229=
1990,B,Christian,8,229,  229=
1990,B,Curtis,8,229,  229=
1990,B,Darrell,8,229,  229=
1990,B,Daryll,8,229,  229=
1990,B,Derrick,8,229,  229=
1990,B,Eric,8,229,  229=
1990,B,Ewen,8,229,  229=
1990,B,Faisal,8,229,  229=
1990,B,Joel,8,229,  229=
1990,B,Laurie,8,229,  229=
1990,B,Leon,8,229,  229=
1990,B,Magnus,8,229,  229=
1990,B,Nicolas,8,229,  229=
1990,B,Taylor,8,229,  229=
1990,B,Alister,7,246,  246=
1990,B,Austin,7,246,  246=
1990,B,Bryce,7,246,  246=
1990,B,Innes,7,246,  246=
1990,B,Jed,7,246,  246=
1990,B,Joss,7,246,  246=
1990,B,Kirk,7,246,  246=
1990,B,Lorne,7,246,  246=
1990,B,Rikki,7,246,  246=
1990,B,Usman,7,246,  246=
1990,B,Archibald,6,256,  256=
1990,B,Cal,6,256,  256=
1990,B,Carl,6,256,  256=
1990,B,Corey,6,256,  256=
1990,B,Geoffrey,6,256,  256=
1990,B,Grahame,6,256,  256=
1990,B,Haroon,6,256,  256=
1990,B,Johnathon,6,256,  256=
1990,B,Kane,6,256,  256=
1990,B,Lachlan,6,256,  256=
1990,B,Nathaniel,6,256,  256=
1990,B,Neill,6,256,  256=
1990,B,Nicol,6,256,  256=
1990,B,Nikki,6,256,  256=
1990,B,Ralph,6,256,  256=
1990,B,Ronnie,6,256,  256=
1990,B,Zachary,6,256,  256=
1990,B,Albert,5,273,  273=
1990,B,Allister,5,273,  273=
1990,B,Amir,5,273,  273=
1990,B,Antoni,5,273,  273=
1990,B,Asim,5,273,  273=
1990,B,Bernard,5,273,  273=
1990,B,Blaine,5,273,  273=
1990,B,Brodie,5,273,  273=
1990,B,Byron,5,273,  273=
1990,B,Colm,5,273,  273=
1990,B,Conan,5,273,  273=
1990,B,Dennis,5,273,  273=
1990,B,Eoghan,5,273,  273=
1990,B,Evan,5,273,  273=
1990,B,Forbes,5,273,  273=
1990,B,Harrison,5,273,  273=
1990,B,Ivan,5,273,  273=
1990,B,Jeffrey,5,273,  273=
1990,B,Jim,5,273,  273=
1990,B,Ka,5,273,  273=
1990,B,Kevan,5,273,  273=
1990,B,Lindsay,5,273,  273=
1990,B,Lucas,5,273,  273=
1990,B,Ray,5,273,  273=
1990,B,Reuben,5,273,  273=
1990,B,Rhys,5,273,  273=
1990,B,Roddy,5,273,  273=
1990,B,Rowan,5,273,  273=
1990,B,Saul,5,273,  273=
1990,B,Sebastian,5,273,  273=
1990,B,Sonny,5,273,  273=
1990,B,Stevie,5,273,  273=
1990,B,Tomas,5,273,  273=
1990,B,Tommy,5,273,  273=
1990,B,Tristan,5,273,  273=
